condition_id,type,model,taste,seed_label,attempt_index,distinct_commands,nesting_depth,code_length,spatial_entropy,fill_ratio,symmetry_score,bounding_box_coverage,latency_ms,xm_gemini_2_5_flash_aesthetic,xm_gemini_2_5_flash_novelty
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,3,10,1,587,0.993,0.1295,0.9007,0.7717,2534,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,4,12,2,706,0.8745,0.0889,0.9241,0.499,3303,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,5,12,2,953,0.2209,0.0224,0.9925,0.7744,4213,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,6,11,0,405,1.8301,0.1389,0.8432,0.5562,2342,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,7,11,2,509,1.0975,0.2206,0.9264,0.7744,2400,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,8,10,2,360,0.1842,0.0026,0.996,0.2123,3539,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,9,10,1,171,0,0,1,0.7744,1252,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Spiral,0,11,1,649,0.9845,0.0119,0.998,0.4964,3272,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Spiral,1,12,1,550,0.5958,0.0609,0.9679,0.5412,4325,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Spiral,2,11,1,475,0.1756,0.006,0.9979,0.1217,2550,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Spiral,3,10,1,589,0.7981,0.0113,0.999,0.3992,3217,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Spiral,4,12,0,234,1.6465,0.0538,0.9624,0.634,1852,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Spiral,5,9,2,189,1.2781,0.0127,0.9992,0.7332,2564,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Spiral,6,11,2,515,1.2686,0.1789,0.9819,0.7594,2616,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Spiral,7,12,1,806,1.3481,0.0466,0.9895,0.7007,3550,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Spiral,8,12,1,598,1.3832,0.046,0.9735,0.7655,2846,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Spiral,9,10,1,707,0.8464,0.0601,0.9825,0.5886,3760,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Spiral,0,11,1,361,1.2419,0.0516,0.9774,0.7007,1985,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Spiral,1,10,2,683,1.087,0.0595,0.9648,0.458,3338,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Spiral,2,12,1,598,1.3302,0.0841,0.9602,0.6034,2889,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Spiral,3,12,0,1086,1.3494,0.0705,0.9625,0.7111,5460,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Spiral,4,10,1,368,2.069,0.3117,0.8757,0.607,3437,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Spiral,5,11,1,463,0.8546,0.0327,0.9893,0.5348,2593,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Spiral,6,10,0,516,0.6414,0.0241,0.9774,0.4951,2594,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Spiral,7,12,1,601,0.5911,0.0096,0.9952,0.3974,2998,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Spiral,8,10,0,156,1.6544,0.6654,0.9716,0.7735,1556,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Spiral,9,10,2,619,0.9228,0.0205,0.9871,0.5741,2756,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,0,10,0,362,1.2965,0.103,0.982,0.4451,1813,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,1,10,2,388,2.5374,0.3746,0.8131,0.7539,1727,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,2,10,0,445,1.2922,0.2423,0.9694,0.7744,2093,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,3,10,1,547,0.9309,0.1193,0.9344,0.7744,2403,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,4,10,1,567,0.8003,0.0678,0.95,0.712,2578,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,5,6,0,350,2.3179,0.3341,0.9794,0.7744,1829,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,6,10,2,661,0.8202,0.0354,0.9701,0.4923,2746,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,7,10,2,304,1.7799,0.1643,0.9026,0.4046,1446,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,8,9,0,351,1.7505,0.1091,0.9696,0.7744,1666,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,9,11,1,320,1.5623,0.0643,0.9396,0.6969,1841,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,0,7,0,355,2.0139,0.197,0.9821,0.7744,1593,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,1,9,1,141,2.2324,0.2966,0.8997,0.7744,1255,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,2,11,1,530,0.8287,0.1709,0.9846,0.5804,2354,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,3,9,1,275,2.5103,0.2583,0.8446,0.745,1776,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,4,10,1,313,2.398,0.2631,0.8353,0.7183,1662,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,5,10,0,476,1.7537,0.2219,0.9523,0.6248,3488,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,6,12,1,370,0.8945,0.0434,0.9748,0.7381,2071,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,7,11,2,547,1.77,0.0671,0.9373,0.7418,2526,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,8,11,0,690,0.5767,0.0552,0.9403,0.7474,2770,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,9,10,2,439,1.9754,0.167,0.9607,0.6923,2003,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Star,0,11,0,504,2.1619,0.2802,0.9184,0.6734,2639,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Star,1,12,1,924,0.9455,0.0305,0.9728,0.7242,3993,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Star,2,11,1,397,1.0516,0.0247,0.9894,0.4102,2015,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Star,3,12,0,570,1.4479,0.0954,0.9876,0.6641,2740,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Star,4,10,1,1403,1.4401,0.0632,0.9566,0.7525,4806,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Star,5,12,1,553,0.3916,0.0114,0.9929,0.7197,2882,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Star,6,10,1,516,0.8294,0.0266,0.9907,0.467,2532,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Star,7,11,2,493,1.5617,0.0908,0.9528,0.7579,3537,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Star,8,11,2,475,1.2789,0.1048,0.9513,0.6101,2354,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Star,9,12,0,718,2.3752,0.3866,0.9988,0.7744,4170,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Star,0,10,1,1090,0.9411,0.0199,0.9898,0.7614,4541,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Star,1,11,2,250,1.268,0.0238,0.9826,0.7562,1885,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Star,2,10,1,334,2.663,0.1903,0.8237,0.7744,2207,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Star,3,10,1,793,0.8793,0.0089,0.9995,0.5862,3715,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Star,4,11,2,434,0.6505,0.0131,0.995,0.3432,2097,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Star,5,10,0,147,1.0351,0.0732,0.9677,0.3107,1300,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Star,6,10,1,538,1.9945,0.0708,0.9774,0.636,3010,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Star,7,10,2,767,1.1316,0.0281,0.9726,0.3871,3363,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Star,8,10,2,644,1.6416,0.2074,0.9228,0.6926,3395,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Star,9,13,1,662,0.9233,0.0208,0.9912,0.4587,3103,,
