condition_id,type,model,taste,seed_label,attempt_index,distinct_commands,nesting_depth,code_length,spatial_entropy,fill_ratio,symmetry_score,bounding_box_coverage,latency_ms,xm_gemini_3_flash_preview_aesthetic,xm_gemini_3_flash_preview_novelty
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,5,9,1,346,1.1517,0.0516,0.9511,0.6275,1889,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,6,10,2,375,1.9955,0.1812,0.8663,0.7555,1902,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,7,10,0,413,1.5233,0.2529,0.8922,0.7613,2283,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,8,10,0,416,2.2001,0.496,0.9919,0.7744,2555,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,9,10,0,397,2.264,0.1998,0.8367,0.7598,2221,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,0,9,2,304,0.6942,0.0338,0.9922,0.4555,1872,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,1,10,1,382,2.3175,0.2014,0.9285,0.7589,2095,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,2,9,0,352,1.6686,0.1074,0.9883,0.6073,3269,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,3,10,2,390,1.8386,0.2261,0.7772,0.7744,2871,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,4,7,2,484,1.5317,0.13,0.9044,0.5329,2187,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,5,11,1,353,0.6013,0.0315,0.9956,0.7744,2167,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,6,6,2,381,1.3627,0.1229,0.9555,0.7744,2279,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,7,11,2,277,1.6433,0.2588,0.9295,0.4906,2091,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,8,11,1,442,1.3912,0.2143,0.9924,0.7572,2301,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Spiral,9,12,2,412,2.2355,0.3675,0.8348,0.6248,2444,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Spiral,0,11,2,606,0.9204,0.0561,0.9871,0.7494,3561,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Spiral,1,8,1,512,0.6108,0.0084,0.9958,0.4706,2668,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Spiral,2,11,2,238,1.1929,0.0251,0.9937,0.7712,1523,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Spiral,3,11,1,922,1.3436,0.0509,0.9773,0.5288,15422,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Spiral,4,13,0,485,0.2186,0.0093,0.9971,0.3202,2585,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Spiral,5,10,2,770,1.3277,0.042,0.97,0.6402,4686,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Spiral,6,11,2,598,0.4141,0.0169,0.997,0.2846,2791,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Spiral,7,10,2,391,1.1841,0.0826,0.9537,0.7243,3556,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Spiral,8,12,0,854,0.8764,0.024,0.9929,0.7434,3896,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Spiral,9,10,1,664,0.8183,0.0101,0.9979,0.5899,3108,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Spiral,0,10,2,390,0.9502,0.0769,0.9682,0.48,2355,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Spiral,1,12,1,1133,0.8745,0.0089,0.9995,0.6216,4538,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Spiral,2,11,1,483,0.2993,0.0308,0.984,0.3645,2659,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Spiral,3,11,1,270,2.1102,0.1499,0.9364,0.6637,1746,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Spiral,4,8,0,414,1.4126,0.1296,0.9622,0.5286,2510,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Spiral,5,9,2,801,0.7849,0.0175,0.9851,0.2769,4880,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Spiral,6,10,1,520,0.8591,0.0763,0.9757,0.4778,2828,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Spiral,7,11,1,611,0.8734,0.0282,0.9772,0.5748,2964,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Spiral,8,12,2,525,0.7109,0.0138,0.9968,0.4874,2820,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Spiral,9,10,2,672,0.8997,0.0427,0.9839,0.5253,3382,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,0,11,0,568,2.1583,0.104,0.9967,0.7744,2504,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,1,11,2,445,0.9671,0.0929,0.9384,0.7744,3772,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,2,10,1,488,2.4339,0.2683,0.9675,0.769,2921,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,3,12,2,653,0.3702,0.0116,0.9987,0.2534,2947,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,4,11,2,339,1.3085,0.0716,0.946,0.4728,1956,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,5,12,2,539,1.6706,0.1842,0.8061,0.684,2647,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,6,10,0,506,1.2133,0.1623,0.9154,0.5613,2273,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,7,10,2,365,0,0,1,0.2682,2079,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,8,10,0,489,1.8769,0.2425,0.8085,0.7105,3001,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,9,10,0,224,1.4696,0.2057,0.9482,0.5101,1531,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,0,12,1,496,0.5101,0.0462,0.9585,0.7026,2205,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,1,10,1,357,2.1742,0.3374,0.835,0.727,2097,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,2,10,1,295,1.68,0.1679,0.8954,0.6523,1766,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,3,11,2,285,1.4856,0.0525,0.9834,0.7446,1765,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,4,8,0,168,1.8268,0.0614,0.9991,0.7744,1327,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,5,9,0,408,1.4599,0.1011,0.912,0.4582,2140,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,6,11,2,366,0.9824,0.0385,0.9663,0.4886,1981,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,7,9,1,267,2.1681,0.1794,0.8767,0.7744,1839,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,8,10,0,761,0.482,0.0358,0.9691,0.566,3466,,
t1__gpt_5_4_mini,single_edit,gpt-5.4-mini,"Mathematical beauty where simple rules generate intricate, symmetric complexity",Star,9,11,0,409,1.8337,0.2477,0.9882,0.7744,2989,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Star,0,11,1,453,0.6142,0.0164,0.9957,0.6821,2499,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Star,1,10,1,653,1.4546,0.0624,0.9783,0.4439,2956,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Star,2,10,0,1009,1.1098,0.105,0.9287,0.3399,4131,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Star,3,10,2,539,1.7851,0.1335,0.9206,0.7735,3026,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Star,4,11,1,425,0.5117,0.0471,0.9647,0.2904,2225,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Star,5,9,1,822,0.5201,0.0269,0.9932,0.4787,3711,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Star,6,10,1,744,0.6797,0.0362,0.9869,0.351,3556,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Star,7,10,1,236,1.8641,0.0959,0.9853,0.7584,1595,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Star,8,10,0,716,1.5068,0.087,0.9688,0.6954,3248,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Star,9,12,1,613,0.5153,0.0042,0.9994,0.3763,3247,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Star,0,10,0,440,1.5537,0.0721,0.9659,0.7102,2529,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Star,1,10,2,601,0.8815,0.0518,0.9709,0.4942,2964,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Star,2,10,2,627,1.9073,0.2256,0.8939,0.6858,3307,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Star,3,10,2,826,0.6738,0.0384,0.9873,0.6324,4142,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Star,4,13,1,754,0.437,0.0232,0.988,0.3183,3917,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Star,5,10,2,606,0.3028,0.02,0.9919,0.3499,2748,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Star,6,12,1,486,1.8005,0.5856,0.931,0.7711,2868,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Star,7,11,1,995,0.8479,0.0348,0.9899,0.5096,4539,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Star,8,12,1,429,0.3594,0.007,0.9932,0.2523,2575,,
t2__gpt_5_4_mini,single_edit,gpt-5.4-mini,Organic and flowing — curves and spirals that suggest natural growth,Star,9,11,0,685,0.9781,0.1006,0.9932,0.0951,3311,,
