condition_id,seed_label,taste,model,repeat_index,iterations_completed,final_score,final_aesthetic,final_novelty,cross_model_score,cross_model_judge,best_baseline_a_xm,best_baseline_b_xm,score_vs_baseline_a,score_vs_baseline_b,final_distinct_commands,final_nesting_depth,final_code_length,final_spatial_entropy,final_fill_ratio,status,elapsed_ms,error
s1__t2__gpt_5_4_mini__m5v2db,Spiral,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,2,15,5,5,0,,gemini-2.5-flash,,,,,2,0,117,0.4036,0.0052,completed,43859,
s1__t2__gpt_5_4_mini__m5v2rb,Spiral,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,0,15,10.5,9,3,,gemini-2.5-flash,,,,,3,0,99,1.4464,0.0299,completed,48826,
s1__t2__gpt_5_4_mini__m5v2rb,Spiral,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,1,15,6.56,8,0,,gemini-2.5-flash,,,,,3,0,159,2.5938,0.2641,completed,51961,
s1__t2__gpt_5_4_mini__m5v2rb,Spiral,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,2,15,11.5,8,7,,gemini-2.5-flash,,,,,7,0,149,1.8275,0.1031,completed,58440,
s1__t2__gpt_5_4_mini__m5v2rb,Spiral,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,0,15,1.5,1,1,1,gemini-2.5-flash,,,,,14,3,417,0,0,completed,49036,
s1__t2__gpt_5_4_mini__m5v2rb,Spiral,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,1,15,13,9,8,,gemini-2.5-flash,,,,,6,0,438,1.7673,0.0714,completed,67918,
s1__t2__gpt_5_4_mini__m5v2rb,Spiral,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,2,15,8,5,6,,gemini-2.5-flash,,,,,3,0,260,0.6835,0.0168,completed,46127,
s2__t1__gpt_5_4_mini__m5v2db,Star,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,0,15,12.5,9,7,,gemini-2.5-flash,,,,,7,0,160,2.2454,0.1655,completed,59130,
s2__t1__gpt_5_4_mini__m5v2db,Star,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,1,15,11.5,9,5,,gemini-2.5-flash,,,,,2,0,32,2.4516,0.2097,completed,51391,
s2__t1__gpt_5_4_mini__m5v2db,Star,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,2,15,11,9,4,,gemini-2.5-flash,,,,,8,0,226,1.8082,0.128,completed,63026,
s2__t1__gpt_5_4_mini__m5v2db,Star,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,0,15,9.5,8,3,,gemini-2.5-flash,,,,,4,0,49,2.2992,0.1216,completed,48265,
s2__t1__gpt_5_4_mini__m5v2db,Star,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,1,15,10,8,4,,gemini-2.5-flash,,,,,8,0,151,1.6397,0.0921,completed,41480,
s2__t1__gpt_5_4_mini__m5v2db,Star,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,2,15,10.5,8,5,,gemini-2.5-flash,,,,,7,0,442,2.4698,0.3345,completed,50710,
s2__t1__gpt_5_4_mini__m5v2rb,Star,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,0,15,7.732599999999999,9,5,,gemini-2.5-flash,,,,,4,0,130,1.8409,0.1087,completed,54138,
s2__t1__gpt_5_4_mini__m5v2rb,Star,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,1,15,9,8,2,,gemini-2.5-flash,,,,,4,0,246,1.6714,0.1305,completed,60828,
s2__t1__gpt_5_4_mini__m5v2rb,Star,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,2,15,7,7,0,,gemini-2.5-flash,,,,,6,0,70,2.1123,0.0839,completed,49626,
s2__t1__gpt_5_4_mini__m5v2rb,Star,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,0,15,8.5,8,1,,gemini-2.5-flash,,,,,3,0,202,2.4748,0.1912,completed,46097,
s2__t1__gpt_5_4_mini__m5v2rb,Star,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,1,15,13,9,8,,gemini-2.5-flash,,,,,8,0,171,1.5279,0.0524,completed,47102,
s2__t1__gpt_5_4_mini__m5v2rb,Star,"Mathematical beauty where simple rules generate intricate, symmetric complexity",gpt-5.4-mini,2,15,10,8,4,,gemini-2.5-flash,,,,,7,0,198,1.6732,0.1057,completed,46709,
s2__t2__gpt_5_4_mini__m5v2db,Star,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,0,15,7.5,6,3,,gemini-2.5-flash,,,,,4,0,86,1.0993,0.0187,completed,47755,
s2__t2__gpt_5_4_mini__m5v2db,Star,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,1,15,6,5,2,,gemini-2.5-flash,,,,,5,0,449,0.5632,0.0052,completed,56682,
s2__t2__gpt_5_4_mini__m5v2db,Star,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,2,15,11.5,9,5,,gemini-2.5-flash,,,,,6,0,187,0.7471,0.008,completed,53224,
s2__t2__gpt_5_4_mini__m5v2db,Star,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,0,15,10.5,8,5,,gemini-2.5-flash,,,,,4,0,220,0.5434,0.0065,completed,44421,
s2__t2__gpt_5_4_mini__m5v2db,Star,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,1,15,8.5,7,3,,gemini-2.5-flash,,,,,4,0,131,1.1418,0.0284,completed,47758,
s2__t2__gpt_5_4_mini__m5v2db,Star,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,2,15,9,7,4,,gemini-2.5-flash,,,,,6,0,623,0.7247,0.0083,completed,48298,
s2__t2__gpt_5_4_mini__m5v2rb,Star,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,0,15,8.2,6,8,,gemini-2.5-flash,,,,,5,2,151,0.7774,0.0235,completed,57496,
s2__t2__gpt_5_4_mini__m5v2rb,Star,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,1,15,5.513679999999999,8,4,,gemini-2.5-flash,,,,,4,0,43,1.3207,0.0306,completed,51320,
s2__t2__gpt_5_4_mini__m5v2rb,Star,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,2,15,8.5,7,3,,gemini-2.5-flash,,,,,3,0,97,1.1968,0.0206,completed,46814,
s2__t2__gpt_5_4_mini__m5v2rb,Star,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,0,15,7,6,2,,gemini-2.5-flash,,,,,3,0,191,1.61,0.0497,completed,43440,
s2__t2__gpt_5_4_mini__m5v2rb,Star,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,1,15,9,7,4,,gemini-2.5-flash,,,,,4,0,110,1.3997,0.1135,completed,43107,
s2__t2__gpt_5_4_mini__m5v2rb,Star,Organic and flowing — curves and spirals that suggest natural growth,gpt-5.4-mini,2,15,10,7,6,,gemini-2.5-flash,,,,,4,0,37,1.7165,0.2065,completed,41780,
