condition_id,run_type,seed_label,taste,model,repeat_index,iterations_completed,final_score,final_aesthetic,final_novelty,final_parsimony,cross_model_score,cross_model_judge,best_baseline_a_xm,best_baseline_b_xm,score_vs_baseline_a,score_vs_baseline_b,final_distinct_commands,final_nesting_depth,final_code_length,final_spatial_entropy,final_fill_ratio,score_drop_warnings,status,elapsed_ms,error
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2di,feedback_only,Spiral,Intricate asymmetric patterns with heavy use of color,gemini-2.5-flash-preview-09-2025,1,10,27.8,5,3,8.4,,gemini-2.5-flash-preview-09-2025,3,6,,,8,1,322,2.5067,0.4476,3,completed,196223,
s1__t3__gemini_2_5_flash_preview_09_2025__m5v2di,feedback_only,Spiral,Intricate asymmetric patterns with heavy use of color,gemini-2.5-flash-preview-09-2025,2,10,27,5,3,8,1,gemini-2.5-flash-preview-09-2025,3,6,-2.00,-5.00,9,2,353,0,0,0,completed,180539,
s2__t3__gemini_2_5_flash_preview_09_2025__m5v2db,evolution,Star,Intricate asymmetric patterns with heavy use of color,gemini-2.5-flash-preview-09-2025,0,10,25.6,8,4,4.8,1,gemini-2.5-flash-preview-09-2025,3,2,-2.00,-1.00,11,4,411,0,0,3,completed,283534,
s2__t3__gemini_2_5_flash_preview_09_2025__m5v2db,evolution,Star,Intricate asymmetric patterns with heavy use of color,gemini-2.5-flash-preview-09-2025,1,10,29.7,8.5,6,4.6,1,gemini-2.5-flash-preview-09-2025,3,2,-2.00,-1.00,11,2,499,0,0,3,completed,247529,
s2__t3__gemini_2_5_flash_preview_09_2025__m5v2db,evolution,Star,Intricate asymmetric patterns with heavy use of color,gemini-2.5-flash-preview-09-2025,2,10,36,8,8,6,1,gemini-2.5-flash-preview-09-2025,3,2,-2.00,-1.00,10,2,221,0,0,1,completed,274971,
s2__t3__gemini_2_5_flash_preview_09_2025__m5v2db,feedback_only,Star,Intricate asymmetric patterns with heavy use of color,gemini-2.5-flash-preview-09-2025,0,10,27.8,5,3,8.4,6,gemini-2.5-flash-preview-09-2025,3,2,3.00,4.00,8,1,312,0.7802,0.1706,1,completed,228535,
s2__t3__gemini_2_5_flash_preview_09_2025__m5v2db,feedback_only,Star,Intricate asymmetric patterns with heavy use of color,gemini-2.5-flash-preview-09-2025,1,10,27,5,3,8,1,gemini-2.5-flash-preview-09-2025,3,2,-2.00,-1.00,9,2,234,0,0,1,completed,186905,
s2__t3__gemini_2_5_flash_preview_09_2025__m5v2db,feedback_only,Star,Intricate asymmetric patterns with heavy use of color,gemini-2.5-flash-preview-09-2025,2,10,26.6,5,3,7.8,1,gemini-2.5-flash-preview-09-2025,3,2,-2.00,-1.00,11,2,383,0,0,1,completed,184533,
s2__t3__gemini_2_5_flash_preview_09_2025__m5v2di,evolution,Star,Intricate asymmetric patterns with heavy use of color,gemini-2.5-flash-preview-09-2025,0,10,38.2,1,10,8.6,1,gemini-2.5-flash-preview-09-2025,3,2,-2.00,-1.00,7,1,136,0,0,2,completed,244731,
s2__t3__gemini_2_5_flash_preview_09_2025__m5v2di,evolution,Star,Intricate asymmetric patterns with heavy use of color,gemini-2.5-flash-preview-09-2025,1,10,33,1,9,7,1,gemini-2.5-flash-preview-09-2025,3,2,-2.00,-1.00,8,3,466,0.2602,0,5,completed,270660,
s2__t3__gemini_2_5_flash_preview_09_2025__m5v2di,evolution,Star,Intricate asymmetric patterns with heavy use of color,gemini-2.5-flash-preview-09-2025,2,10,38.2,9,7,7.6,1,gemini-2.5-flash-preview-09-2025,3,2,-2.00,-1.00,11,2,337,0,0,3,completed,250216,
s2__t3__gemini_2_5_flash_preview_09_2025__m5v2di,feedback_only,Star,Intricate asymmetric patterns with heavy use of color,gemini-2.5-flash-preview-09-2025,0,10,25.4,5,3,7.2,1,gemini-2.5-flash-preview-09-2025,3,2,-2.00,-1.00,9,3,399,0,0,1,completed,188086,
s2__t3__gemini_2_5_flash_preview_09_2025__m5v2di,feedback_only,Star,Intricate asymmetric patterns with heavy use of color,gemini-2.5-flash-preview-09-2025,1,10,25.8,5,3,7.4,1,gemini-2.5-flash-preview-09-2025,3,2,-2.00,-1.00,10,2,346,0,0,1,completed,182565,
s2__t3__gemini_2_5_flash_preview_09_2025__m5v2di,feedback_only,Star,Intricate asymmetric patterns with heavy use of color,gemini-2.5-flash-preview-09-2025,2,10,25.8,5,3,7.4,1,gemini-2.5-flash-preview-09-2025,3,2,-2.00,-1.00,11,2,298,2.4383,0.4107,0,completed,157237,
